id	superclass
map00220	Amino acid metabolism
map00250	Amino acid metabolism
map00260	Amino acid metabolism
map00270	Amino acid metabolism
map00280	Drug metabolism/xenobiotics
map00290	Amino acid metabolism
map00300	Amino acid metabolism
map00310	Drug metabolism/xenobiotics
map00330	Amino acid metabolism
map00340	Amino acid metabolism
map00350	Tryptophan metabolism
map00360	Tryptophan metabolism
map00410	Amino acid metabolism
map00471	Amino acid metabolism
map00473	Amino acid metabolism
map00380	Tryptophan metabolism
map00400	Tryptophan metabolism
map00253	Antibiotic resistance/efflux
map01055	Antibiotic resistance/efflux
map01502	Antibiotic resistance/efflux
map00010	Energy/central carbon
map00030	Carbohydrate metabolism
map00051	Carbohydrate metabolism
map00052	Carbohydrate metabolism
map00500	Carbohydrate metabolism
map00510	Carbohydrate metabolism
map00511	Drug metabolism/xenobiotics
map00513	Carbohydrate metabolism
map00514	Carbohydrate metabolism
map00515	Carbohydrate metabolism
map00540	Cell envelope/biogenesis
map00550	Cell envelope/biogenesis
map00053	Carbohydrate metabolism
map00130	Cofactors/vitamins
map00670	Cofactors/vitamins
map00730	Cofactors/vitamins
map00740	Cofactors/vitamins
map00760	Cofactors/vitamins
map00770	Cofactors/vitamins
map00780	Cofactors/vitamins
map00785	Cofactors/vitamins
map00790	Cofactors/vitamins
map00860	Cofactors/vitamins
map03020	RNA processing/degradation
map03030	DNA replication/repair/maintenance
map03410	DNA replication/repair/maintenance
map03430	DNA replication/repair/maintenance
map03440	DNA replication/repair/maintenance
map03420	DNA replication/repair/maintenance
map00982	Drug metabolism/xenobiotics
map00983	Drug metabolism/xenobiotics
map01524	Antibiotic resistance/efflux
map00020	Energy/central carbon
map00620	SCFA fermentation
map00630	Energy/central carbon
map00061	Lipid metabolism
map00071	Lipid metabolism
map00120	Lipid metabolism
map00121	Lipid metabolism
map00561	Lipid metabolism
map00565	Lipid metabolism
map00600	Lipid metabolism
map01212	Lipid metabolism
map04979	Lipid metabolism
map04071	Lipid metabolism
map02030	Motility/adhesion
map00230	Nucleotide metabolism
map00240	Nucleotide metabolism
map00520	Nucleotide metabolism
map03018	RNA processing/degradation
map00523	Secondary metabolism
map00940	Secondary metabolism
map00941	Secondary metabolism
map01053	Secondary metabolism
map01054	Secondary metabolism
map01056	Secondary metabolism
