KO	superclass
K00001	SCFA fermentation
K00002	Cofactors/vitamins
K00003	Energy/central carbon
K00004	Energy/central carbon
K00005	Energy/central carbon
K00008	Energy/central carbon
K00009	Energy/central carbon
K00010	Energy/central carbon
K00012	Carbohydrate metabolism
K00013	Energy/central carbon
K00014	Tryptophan metabolism
K00015	Energy/central carbon
K00016	SCFA fermentation
K00018	Energy/central carbon
K00019	Other
K00020	Energy/central carbon
K00024	Energy/central carbon
K00026	Energy/central carbon
K00027	Energy/central carbon
K00029	Energy/central carbon
K00030	Cofactors/vitamins
K00031	Other
K00032	Energy/central carbon
K00033	Energy/central carbon
K00034	Energy/central carbon
K00036	Energy/central carbon
K00038	Energy/central carbon
K00040	Energy/central carbon
K00041	Energy/central carbon
K00042	Energy/central carbon
K00045	Carbohydrate metabolism
K00046	Energy/central carbon
K00052	Other
K00053	Energy/central carbon
K00054	Energy/central carbon
K00055	Energy/central carbon
K00057	Cofactors/vitamins
K00058	Energy/central carbon
K00059	Lipid metabolism
K00060	Amino acid metabolism
K00065	Energy/central carbon
K00067	Energy/central carbon
K00068	Energy/central carbon
K00073	Cofactors/vitamins
K00074	Energy/central carbon
K00075	Cell envelope/biogenesis
K00077	Energy/central carbon
K00086	Energy/central carbon
K00087	Carbohydrate metabolism
K00088	Energy/central carbon
K00090	Energy/central carbon
K00091	Energy/central carbon
K00094	Carbohydrate metabolism
K00096	Cofactors/vitamins
K00097	Other
K00098	Other
K00099	Energy/central carbon
K00101	SCFA fermentation
K00102	SCFA fermentation
K00104	Cofactors/vitamins
K00105	Energy/central carbon
K00108	Carbohydrate metabolism
K00111	Energy/central carbon
K00112	Other
K00113	Other
K00114	Cofactors/vitamins
K00116	Energy/central carbon
K00117	Carbohydrate metabolism
K00121	Energy/central carbon
K00122	SCFA fermentation
K00123	Antibiotic resistance/efflux
K00124	Transport
K00127	SCFA fermentation
K00128	Cofactors/vitamins
K00130	Transport
K00131	Energy/central carbon
K00133	Amino acid metabolism
K00134	Energy/central carbon
K00135	Synaptic pathways
K00138	Transcriptional regulation
K00140	Energy/central carbon
K00145	Energy/central carbon
K00146	Other
K00147	Amino acid metabolism
K00148	Amino acid metabolism
K00154	Transcriptional regulation
K00156	SCFA fermentation
K00158	Energy/central carbon
K00161	Energy/central carbon
K00162	Energy/central carbon
K00163	Energy/central carbon
K00164	Energy/central carbon
K00166	Other
K00167	Other
K00169	Energy/central carbon
K00184	Transport
K00185	Transport
K00196	Energy/central carbon
K00208	Lipid metabolism
K00209	Cofactors/vitamins
K00215	Energy/central carbon
K00216	Other
K00218	Other
K00220	Tryptophan metabolism
K00226	Energy/central carbon
K00228	Energy/central carbon
K00230	Cofactors/vitamins
K00239	Energy/central carbon
K00240	Energy/central carbon
K00241	Energy/central carbon
K00242	Transport
K00243	Other
K00244	Energy/central carbon
K00245	Energy/central carbon
K00246	Energy/central carbon
K00247	Energy/central carbon
K00248	Energy/central carbon
K00249	Energy/central carbon
K00254	Energy/central carbon
K00259	Amino acid metabolism
K00262	Energy/central carbon
K00265	Energy/central carbon
K00266	Energy/central carbon
K00274	Synaptic pathways
K00275	Energy/central carbon
K00276	Energy/central carbon
K00278	Amino acid metabolism
K00281	Amino acid metabolism
K00283	Amino acid metabolism
K00284	Amino acid metabolism
K00285	Amino acid metabolism
K00286	Energy/central carbon
K00287	Energy/central carbon
K00297	Cofactors/vitamins
K00298	Amino acid metabolism
K00299	Cofactors/vitamins
K00301	Energy/central carbon
K00304	Energy/central carbon
K00305	Energy/central carbon
K00311	Energy/central carbon
K00316	Transport
K00322	Cofactors/vitamins
K00324	Cofactors/vitamins
K00325	Cofactors/vitamins
K00326	Cofactors/vitamins
K00330	Energy/central carbon
K00331	Energy/central carbon
K00332	Energy/central carbon
K00333	Energy/central carbon
K00334	Energy/central carbon
K00335	Energy/central carbon
K00336	Energy/central carbon
K00337	Energy/central carbon
K00338	Energy/central carbon
K00339	Energy/central carbon
K00340	Energy/central carbon
K00341	Energy/central carbon
K00342	Energy/central carbon
K00343	Energy/central carbon
K00344	Cofactors/vitamins
K00346	Transport
K00347	Transport
K00348	Transport
K00349	Transport
K00350	Transport
K00354	Other
K00355	Cofactors/vitamins
K00362	Energy/central carbon
K00363	Energy/central carbon
K00364	Energy/central carbon
K00366	Energy/central carbon
K00370	Energy/central carbon
K00371	Energy/central carbon
K00372	Cofactors/vitamins
K00373	Cofactors/vitamins
K00374	Energy/central carbon
K00375	Transcriptional regulation
K00380	Energy/central carbon
K00381	Cofactors/vitamins
K00382	Energy/central carbon
K00383	Amino acid metabolism
K00384	Cofactors/vitamins
K00389	Transport
K00390	Other
K00410	Cofactors/vitamins
K00411	Cofactors/vitamins
K00412	Cofactors/vitamins
K00413	Cofactors/vitamins
K00424	Cofactors/vitamins
K00425	Cofactors/vitamins
K00426	Cofactors/vitamins
K00427	SCFA fermentation
K00428	Energy/central carbon
K00432	Energy/central carbon
K00433	Cofactors/vitamins
K00435	Cofactors/vitamins
K00459	Cofactors/vitamins
K00467	SCFA fermentation
K00483	Tryptophan metabolism
K00484	Cofactors/vitamins
K00520	Transcriptional regulation
