	sample_received_month	latitude	longitude	elevation	pH_laboratory	tta_laboratory	cfu_lab	cfu_yeasts	r_samp_source	r_samp_country	covid	r_dough_source	r_dough_stor_device	r_dough_cover	r_yeast_usage_prior	r_flour_type_red_red	r_flour_quality	r_flour_organic	r_flour_change	r_water_type	r_flour_additions	r_backslop_freq	r_refreshment_flour	r_temp_feeding	r_time_feeding	r_stor_feeding	r_dough_size_feeding	r_temp_storage	r_ph_value_citizen	cat	dog	other_with_hair	other_without_hair	r_plants	r_kids	r_flour_comp_not_determ	r_wheat	r_semi_wholemeal_wheat	r_wholemeal_wheat	r_rye	r_wholemeal_rye	r_wholemeal_spelt	r_spelt	r_barley	r_other_wheat_varieties	r_gluten_free_flour	p_number_sourdoughs	p_after_feeding	p_bread_making_frequency	p_skill	p_perceived_health_benefits	p_alcoholic_beverage	p_acid_beverage	p_dairy_products	p_fermented_vegetables_fruits	p_other_fermentations	dough_age	sample_transport_dur	dough_yield	s_grain_cereal_score	s_fermented_score	s_veggie_score	s_animal_score	s_chemical_score	s_body_odour_score	s_fruity_score	s_toasted_score	s_sour_score	s_ocean_score	s_earthy_score	s_fermented_dairy_score	s_nutty_score	hub	cluster
91b23	September	37.39	-122.07	28	3.71	52.22			household	United States	post	started myself	glass jar	loose lid	no	other	endosperm	yes	no	tap water (descaled/filtered)	no	2	100	30	48	proofing chamber	110	4	3	no	no	no	no	no	no	no	0	0	0	0	0	0	0	1	0	0		other				no	no	no	no	no	0	10	225	0	0	0	0	0	0	1	1	1	0	0	0	0	ETHZ	2
84edd	September	37.39	-122.07	28	3.64	54.35			household	United States	post	started myself	glass jar	loose lid	no	rye	endosperm	yes	no	tap water (descaled/filtered)	no	2	50	30	48	proofing chamber	110	4	3	no	no	no	no	no	no	no	0	0	0	1	0	0	0	0	0	0		other				no	no	no	no	no	0	10	226	0	1	0	0	0	0	1	1	1	0	1	0	0	ETHZ	2
8c1c8	September	37.39	-122.07	28	3.82	54.04			household	United States	post	started myself	glass jar	loose lid	no	wheat	endosperm	yes	no	tap water (descaled/filtered)	no	1	50	30	48	proofing chamber	115	4	3	no	no	no	no	no	no	no	1	0	0	0	0	0	0	0	0	0		other				no	no	no	no	no	0	10	226	0	1	0	0	0	0	1	1	0	0	0	2	0	ETHZ	2
7cf37	September	37.39	-122.07	28	4.28	32.41			household	United States	pre	started myself	glass jar	loose lid	no	wheat	wholemeal	yes	yes	tap water (descaled/filtered)	yes	2	50	30	48	proofing chamber	110	4	3.5	no	no	no	no	no	no	no	0	0	1	0	0	0	0	0	0	0		other				no	no	no	no	no	20	10	226	1	0	0	0	0	0	1	0	0	0	0	1	0	ETHZ	2
11e3c	September	47.37	8.48	529	3.59	11.5			household	Switzerland	post	started myself	glass jar	closed lid	no	other	mix	yes	yes	tap water	no	4	65	22	6	warm place	15	7	4.1	no	no	no	no	no	no	no	0.9	0	0	0.05	0	0	0.05	0	0	0	1	fridge	8	0.5 to 2	no	no	no	no	yes	no	1	17	176.9230769	1	1	0	0	1	0	0	0	0	0	0	2	0	ETHZ	3
28b22	December	47.37	8.56	461	3.65	19.75	10.70586371	0	household	Switzerland	pre	started myself	glass jar	closed lid	yes	rye	wholemeal	yes	no	tap water	no	4	25	21	10	kitchen counter	50	4	5.1	no	no	no	no	no	yes	no	0	0	0	0	1	0	0	0	0	0	1	fridge	4	>5	yes	no	yes	no	yes	no	4	12	200	1	1	0	0	0	0	0	0	0	0	0	1	0	ETHZ	4
c2029	September	47.51	8.78	469	3.78	16.8			household	Switzerland	post	received from a home baker	glass jar	loose lid	yes	rye	endosperm	yes	no	tap water (descaled/filtered)	no	4	50	23	4	kitchen counter	100	5	4.8	no	no	no	no	no	no	no	0	0	0	1	0	0	0	0	0	0	2	fridge	1	0.5 to 2	yes	no	no	no	no	no	0	4	200	0	1	0	0	0	0	0	0	0	0	0	0	0	ETHZ	4
d9771	September	47.51	8.78	469	3.69	19.42			household	Switzerland	post	received from a home baker	glass jar	loose lid	yes	wheat	wholemeal	yes	yes	tap water (descaled/filtered)	no	4	100	23	4	kitchen counter	75	5	4.6	no	no	no	no	no	no	no	0	1	0	0	0	0	0	0	0	0	2	fridge	1	0.5 to 2	yes	no	no	no	no	no	0	6	150	0	0	0	0	0	0	0	0	0	0	0	1	0	ETHZ	3
ebb8a	September	47.51	8.72	442	3.55	13.67			household	Switzerland	covid	started myself	glass jar	closed lid	yes	wheat	endosperm	yes	yes	tap water	no	4	100	27	6	kitchen counter	20	4	4.6	no	no	no	no	yes	no	no	1	0	0	0	0.5	0	0	0	0	0	1	fridge	4	2 to 5	yes	no	no	yes	yes	no	2	3	200	0	2	0	0	0	0	1	0	1	0	0	1	2	ETHZ	3
ddd21	September	47.41	8.06	399	3.58	16.46			household	Switzerland	pre	started myself	glass jar	closed lid	yes	wheat	wholemeal	no	yes	tap water	no	8	175	30	4	kitchen counter	100	5	4.8	yes	no	no	no	no	yes	no	0	1	0	0	0	0	0	0	0	0	1	fridge	8	>5	yes	no	no	yes	no	yes	4	9	148.5714286	0	2	1	0	0	0	1	0	0	0	0	1	0	ETHZ	3
